Total number of words: 2973399
Total number of distinct words: 52488
Popular treshold: 2625
Lower common treshold: 24931
Upper common treshold: 27557
Rare treshold: 49863

Popular words
+---------------+---------+----+
|           Word|Frequency|Rank|
|        natural|      269| 974|
|         spread|      269| 975|
|          wrong|      269| 976|
|       algernon|      268| 977|
|        allowed|      268| 978|
|         caught|      268| 979|
|       distance|      268| 980|
|         fucked|      268| 981|
|       speaking|      268| 982|
|       consider|      267| 983|
|      generally|      267| 984|
|          heads|      267| 985|
|        desired|      266| 986|
|     experience|      266| 987|
|         proper|      266| 988|
|      satisfied|      266| 989|
|          teach|      266| 990|
|          youth|      266| 991|
|        actions|      264| 992|
|        fingers|      264| 993|
|         joseph|      264| 994|
|         kissed|      264| 995|
|        usually|      264| 996|
|          belly|      263| 997|
|          fruit|      263| 998|
|  righteousness|      263| 999|
|         garden|      262|1000|
|           sick|      261|1001|
|           iron|      260|1002|
|       promised|      260|1003|
|      sacrifice|      260|1004|
|           shew|      260|1005|
|         taught|      260|1006|
|         london|      259|1007|
|     permission|      258|1008|
|       provided|      258|1009|
|           real|      258|1010|
|     washington|      257|1011|
|          learn|      256|1012|
|           rule|      256|1013|
|       somewhat|      256|1014|
|         cecily|      255|1015|
|         corner|      255|1016|
|           kiss|      255|1017|
|          lawes|      255|1018|
|       officers|      255|1019|
|       religion|      255|1020|
|         remain|      255|1021|
|          tribe|      255|1022|
|          arose|      254|1023|
|          dwelt|      254|1024|
|        knowing|      254|1025|
|          tired|      254|1026|
|          watch|      254|1027|
|        ashamed|      253|1028|
|     associated|      253|1029|
|         joshua|      253|1030|
|          laugh|      253|1031|
|    philistines|      253|1032|
|       remained|      253|1033|
|       directly|      252|1034|
|         hardly|      252|1035|
|      secretary|      252|1036|
|          usual|      252|1037|
|        worship|      252|1038|
|         asleep|      251|1039|
|           duke|      251|1040|
|       families|      251|1041|
|          worth|      251|1042|
|         bodies|      250|1043|
|        journey|      250|1044|
|           rank|      250|1045|
|        whereof|      250|1046|
|         killed|      249|1047|
|          naked|      249|1048|
|        touched|      249|1049|
|         wonder|      249|1050|
|           stop|      248|1051|
|           wood|      248|1052|
|         appear|      247|1053|
|          grace|      247|1054|
|      afternoon|      246|1055|
|          build|      246|1056|
|         freely|      246|1057|
|           paul|      246|1058|
|         forget|      245|1059|
|            hid|      245|1060|
|         middle|      245|1061|
|           acts|      244|1062|
|     considered|      244|1063|
|          dream|      244|1064|
|       moreover|      244|1065|
|       probably|      244|1066|
|        putting|      244|1067|
|        streets|      244|1068|
|         temple|      244|1069|
|            fee|      243|1070|
|        keeping|      243|1071|
|           obey|      243|1072|
|      salvation|      243|1073|
|        delight|      242|1074|
|             en|      242|1075|
|          smile|      242|1076|
|         theres|      242|1077|
|           wide|      242|1078|
|            ago|      241|1079|
|          arise|      241|1080|
|        comfort|      241|1081|
|   conversation|      241|1082|
|          false|      241|1083|
|         waited|      241|1084|
|       finished|      240|1085|
|        started|      240|1086|
|         throne|      240|1087|
|          horse|      239|1088|
|         lovely|      239|1089|
|          miles|      239|1090|
|           sign|      239|1091|
|            fat|      238|1092|
|            fit|      238|1093|
|          lords|      238|1094|
|          smote|      238|1095|
|            ark|      237|1096|
|        perfect|      237|1097|
|         thence|      237|1098|
|       darkness|      236|1099|
|          faces|      236|1100|
|           goes|      236|1101|
|          named|      236|1102|
|       stranger|      236|1103|
