Total number of words: 2103361
Total number of distinct words: 43654
Popular treshold: 2183
Lower common treshold: 20735
Upper common treshold: 22919
Rare treshold: 41471

Popular words
+--------------+---------+----+
|          Word|Frequency|Rank|
|    willoughby|      192|1049|
|      judgment|      191|1050|
|         laugh|      191|1051|
|        pistol|      191|1052|
|  satisfaction|      191|1053|
|     churchill|      190|1054|
|      creature|      190|1055|
|         piece|      190|1056|
|    acquainted|      189|1057|
|      resolved|      189|1058|
|        silent|      189|1059|
|        stands|      189|1060|
|           woe|      189|1061|
|       wouldst|      189|1062|
|          deed|      188|1063|
|      expected|      188|1064|
|          hurt|      188|1065|
|         reply|      188|1066|
|        wealth|      188|1067|
|       consent|      187|1068|
|          dull|      187|1069|
|          harm|      187|1070|
|        length|      187|1071|
|      pericles|      187|1072|
|        easily|      186|1073|
|         grant|      186|1074|
|            iv|      186|1075|
|          rise|      186|1076|
|        single|      186|1077|
|       sisters|      186|1078|
|          weak|      186|1079|
|       conduct|      185|1080|
|      directly|      185|1081|
|        famous|      185|1082|
|      interest|      185|1083|
|          rage|      185|1084|
|          wine|      185|1085|
|       witness|      185|1086|
|     advantage|      184|1087|
|          fact|      184|1088|
|       knights|      184|1089|
|      entirely|      183|1090|
|       instead|      183|1091|
|         learn|      183|1092|
|       obliged|      183|1093|
|         spent|      183|1094|
|         tried|      183|1095|
|        action|      182|1096|
|          anne|      182|1097|
|        assure|      182|1098|
|        broken|      182|1099|
|       finding|      182|1100|
|          fond|      182|1101|
|      language|      182|1102|
|       meaning|      182|1103|
